Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen;Archivo imagen asignado
perfil-manija-j-curvo-x-3-mts-aluminio-tuh-504;"Perfil Manija ""J"" Curvo x 3 mts Aluminio";Manijas y Tiradores;;;;;;;18795.00;;;;;;;TUH-504;;SI;NO;Marca: BRONZEN<br>Código: TUH-504<br>Producto disponible en Herrajes Darío.;BRONZEN;"Perfil Manija ""J"" Curvo x 3 mts Aluminio | Herrajes Darío";"Perfil Manija ""J"" Curvo x 3 mts Aluminio marca BRONZEN. Código TUH-504. Consultá disponibilidad en Herrajes Darío.";BRONZEN;SI;;;;;https://drive.google.com/uc?export=view&id=1bwGUk-tggR1qdtsPweJ9PFvAIqSwfDr4;manijaarcocurvoal.jpg
perfil-manija-j-curvo-x-3-mts-negro-tuh-504-n;"Perfil Manija ""J"" Curvo x 3 mts Negro";Manijas y Tiradores;;;;;;;19845.00;;;;;;;TUH-504-N;;SI;NO;Marca: BRONZEN<br>Código: TUH-504-N<br>Producto disponible en Herrajes Darío.;BRONZEN;"Perfil Manija ""J"" Curvo x 3 mts Negro | Herrajes Darío";"Perfil Manija ""J"" Curvo x 3 mts Negro marca BRONZEN. Código TUH-504-N. Consultá disponibilidad en Herrajes Darío.";BRONZEN;SI;;;;;https://drive.google.com/uc?export=view&id=1W94N5xRs3IPgKf3pFpE_WIupVOzbyt2I;manijaarcocurvongo.jpg
perfil-manija-c-x-3-mts-aluminio-mc18;"Perfil Manija ""C"" x 3 mts Aluminio";Manijas y Tiradores;;;;;;;24780.00;;;;;;;MC18;;SI;NO;Marca: Grupo Euro<br>Código: MC18<br>Producto disponible en Herrajes Darío.;Grupo Euro;"Perfil Manija ""C"" x 3 mts Aluminio | Herrajes Darío";"Perfil Manija ""C"" x 3 mts Aluminio marca Grupo Euro. Código MC18. Consultá disponibilidad en Herrajes Darío.";Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1fZKd-NsYGhUWGL_j0yMnc2C7BczVfgNv;ESQ_MC18_01.jpg
perfil-manija-c-x-3-mts-negro-mc18n;"Perfil Manija ""C"" x 3 mts Negro";Manijas y Tiradores;;;;;;;24780.00;;;;;;;MC18N;;SI;NO;Marca: Grupo Euro<br>Código: MC18N<br>Producto disponible en Herrajes Darío.;Grupo Euro;"Perfil Manija ""C"" x 3 mts Negro | Herrajes Darío";"Perfil Manija ""C"" x 3 mts Negro marca Grupo Euro. Código MC18N. Consultá disponibilidad en Herrajes Darío.";Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1fZKd-NsYGhUWGL_j0yMnc2C7BczVfgNv;ESQ_MC18_01.jpg
perfil-manija-j-x-3-mts-aluminio-mj18;"Perfil Manija ""J"" x 3 mts Aluminio";Manijas y Tiradores;;;;;;;12285.00;;;;;;;MJ18;;SI;NO;Marca: Grupo Euro<br>Código: MJ18<br>Producto disponible en Herrajes Darío.;Grupo Euro;"Perfil Manija ""J"" x 3 mts Aluminio | Herrajes Darío";"Perfil Manija ""J"" x 3 mts Aluminio marca Grupo Euro. Código MJ18. Consultá disponibilidad en Herrajes Darío.";Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1sLkQm6HOICQALDyCe6SorwOUgrJYjGZ3;ESQ_MJ18_01.jpg
perfil-manija-j-x-3-mts-negro-mj18n;"Perfil Manija ""J"" x 3 mts Negro";Manijas y Tiradores;;;;;;;12285.00;;;;;;;MJ18N;;SI;NO;Marca: Grupo Euro<br>Código: MJ18N<br>Producto disponible en Herrajes Darío.;Grupo Euro;"Perfil Manija ""J"" x 3 mts Negro | Herrajes Darío";"Perfil Manija ""J"" x 3 mts Negro marca Grupo Euro. Código MJ18N. Consultá disponibilidad en Herrajes Darío.";Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1sLkQm6HOICQALDyCe6SorwOUgrJYjGZ3;ESQ_MJ18_01.jpg
perfil-manija-ht-x-3-mts-aluminio-mht18;"Perfil Manija ""HT"" x 3 mts Aluminio";Manijas y Tiradores;;;;;;;28665.00;;;;;;;MHT18;;SI;NO;Marca: Grupo Euro<br>Código: MHT18<br>Producto disponible en Herrajes Darío.;Grupo Euro;"Perfil Manija ""HT"" x 3 mts Aluminio | Herrajes Darío";"Perfil Manija ""HT"" x 3 mts Aluminio marca Grupo Euro. Código MHT18. Consultá disponibilidad en Herrajes Darío.";Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1f7vM68wSLaFp2B2vgbe2tuIgmS4WnQl3;ESQ_MHT18_01.jpg
perfil-manija-ht-x-3-mts-negro-mht18n;"Perfil Manija ""HT"" x 3 mts Negro";Manijas y Tiradores;;;;;;;28665.00;;;;;;;MHT18N;;SI;NO;Marca: Grupo Euro<br>Código: MHT18N<br>Producto disponible en Herrajes Darío.;Grupo Euro;"Perfil Manija ""HT"" x 3 mts Negro | Herrajes Darío";"Perfil Manija ""HT"" x 3 mts Negro marca Grupo Euro. Código MHT18N. Consultá disponibilidad en Herrajes Darío.";Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1f7vM68wSLaFp2B2vgbe2tuIgmS4WnQl3;ESQ_MHT18_01.jpg
guia-oculta-cierre-suave-300mm-um30;Guia Oculta Cierre Suave 300mm;Correderas para Muebles;;;;;;;21315.00;;;;;;;UM30;;SI;NO;Marca: Grupo Euro<br>Código: UM30<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Cierre Suave 300mm | Herrajes Darío;Guia Oculta Cierre Suave 300mm marca Grupo Euro. Código UM30. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1kLiQUNBPV_h8J5iAklZy8jLXaP62s1uR;ESQ_GSCL_01.jpg
guia-oculta-cierre-suave-400mm-um40;Guia Oculta Cierre Suave 400mm;Correderas para Muebles;;;;;;;22470.00;;;;;;;UM40;;SI;NO;Marca: Grupo Euro<br>Código: UM40<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Cierre Suave 400mm | Herrajes Darío;Guia Oculta Cierre Suave 400mm marca Grupo Euro. Código UM40. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1kLiQUNBPV_h8J5iAklZy8jLXaP62s1uR;ESQ_GSCL_01.jpg
guia-oculta-cierre-suave-450mm-um45;Guia Oculta Cierre Suave 450mm;Correderas para Muebles;;;;;;;23625.00;;;;;;;UM45;;SI;NO;Marca: Grupo Euro<br>Código: UM45<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Cierre Suave 450mm | Herrajes Darío;Guia Oculta Cierre Suave 450mm marca Grupo Euro. Código UM45. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1kLiQUNBPV_h8J5iAklZy8jLXaP62s1uR;ESQ_GSCL_01.jpg
guia-oculta-cierre-suave-500mm-um50;Guia Oculta Cierre Suave 500mm;Correderas para Muebles;;;;;;;24885.00;;;;;;;UM50;;SI;NO;Marca: Grupo Euro<br>Código: UM50<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Cierre Suave 500mm | Herrajes Darío;Guia Oculta Cierre Suave 500mm marca Grupo Euro. Código UM50. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1kLiQUNBPV_h8J5iAklZy8jLXaP62s1uR;ESQ_GSCL_01.jpg
guia-oculta-push-400mm-ump40;Guia Oculta Push 400mm;Correderas para Muebles;;;;;;;22470.00;;;;;;;UMP40;;SI;NO;Marca: Grupo Euro<br>Código: UMP40<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Push 400mm | Herrajes Darío;Guia Oculta Push 400mm marca Grupo Euro. Código UMP40. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=19fCuvULqX1oaeWYdgkgKQouZoLM2-MWl;ESQ_GICL_01.jpg
guia-oculta-push-450mm-ump45;Guia Oculta Push 450mm;Correderas para Muebles;;;;;;;23625.00;;;;;;;UMP45;;SI;NO;Marca: Grupo Euro<br>Código: UMP45<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Push 450mm | Herrajes Darío;Guia Oculta Push 450mm marca Grupo Euro. Código UMP45. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=19fCuvULqX1oaeWYdgkgKQouZoLM2-MWl;ESQ_GICL_01.jpg
guia-oculta-push-500mm-ump50;Guia Oculta Push 500mm;Correderas para Muebles;;;;;;;24885.00;;;;;;;UMP50;;SI;NO;Marca: Grupo Euro<br>Código: UMP50<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta Push 500mm | Herrajes Darío;Guia Oculta Push 500mm marca Grupo Euro. Código UMP50. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=19fCuvULqX1oaeWYdgkgKQouZoLM2-MWl;ESQ_GICL_01.jpg
guia-oculta-c-lateral-84x500-blanco-es84b;Guia Oculta C/ Lateral 84x500 Blanco;Correderas para Muebles;;;;;;;39795.00;;;;;;;ES84B;;SI;NO;Marca: Grupo Euro<br>Código: ES84B<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta C/ Lateral 84x500 Blanco | Herrajes Darío;Guia Oculta C/ Lateral 84x500 Blanco marca Grupo Euro. Código ES84B. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1otv4Fa_U63CRJr_-ZtjLXnmUQXvxWfBr;ES84B.jpg
guia-oculta-c-lateral-84x500-gris-es84g;Guia Oculta C/ Lateral 84x500 Gris;Correderas para Muebles;;;;;;;39795.00;;;;;;;ES84G;;SI;NO;Marca: Grupo Euro<br>Código: ES84G<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta C/ Lateral 84x500 Gris | Herrajes Darío;Guia Oculta C/ Lateral 84x500 Gris marca Grupo Euro. Código ES84G. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1n3dQtW7W_OVnqgafLAGouYCMNEQMQJpX;ES84G.jpg
guia-oculta-c-lateral-84x500-antracita-es84a;Guia Oculta C/ Lateral 84x500 Antracita;Correderas para Muebles;;;;;;;39795.00;;;;;;;ES84A;;SI;NO;Marca: Grupo Euro<br>Código: ES84A<br>Producto disponible en Herrajes Darío.;Grupo Euro;Guia Oculta C/ Lateral 84x500 Antracita | Herrajes Darío;Guia Oculta C/ Lateral 84x500 Antracita marca Grupo Euro. Código ES84A. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1XjCH6EOz_Y6nkroa_dD32WL1f81VytY9;ES84A.jpg
baranda-cuadrada-500mm-blanco-gces84b;Baranda Cuadrada 500mm Blanco;Hogar y Obra;;;;;;;7455.00;;;;;;;GCES84B;;SI;NO;Marca: Grupo Euro<br>Código: GCES84B<br>Producto disponible en Herrajes Darío.;Grupo Euro;Baranda Cuadrada 500mm Blanco | Herrajes Darío;Baranda Cuadrada 500mm Blanco marca Grupo Euro. Código GCES84B. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1otv4Fa_U63CRJr_-ZtjLXnmUQXvxWfBr;ES84B.jpg
baranda-cuadrada-500mm-gris-gces84g;Baranda Cuadrada 500mm Gris;Hogar y Obra;;;;;;;7455.00;;;;;;;GCES84G;;SI;NO;Marca: Grupo Euro<br>Código: GCES84G<br>Producto disponible en Herrajes Darío.;Grupo Euro;Baranda Cuadrada 500mm Gris | Herrajes Darío;Baranda Cuadrada 500mm Gris marca Grupo Euro. Código GCES84G. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1n3dQtW7W_OVnqgafLAGouYCMNEQMQJpX;ES84G.jpg
baranda-cuadrada-500mm-antracita-gces84a;Baranda Cuadrada 500mm Antracita;Hogar y Obra;;;;;;;7455.00;;;;;;;GCES84A;;SI;NO;Marca: Grupo Euro<br>Código: GCES84A<br>Producto disponible en Herrajes Darío.;Grupo Euro;Baranda Cuadrada 500mm Antracita | Herrajes Darío;Baranda Cuadrada 500mm Antracita marca Grupo Euro. Código GCES84A. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1XjCH6EOz_Y6nkroa_dD32WL1f81VytY9;ES84A.jpg
guia-oculta-cierre-suave-300mm-433-03-282;Guia Oculta Cierre Suave 300mm;Correderas para Muebles;;;;;;;26617.50;;;;;;;433.03.282;;SI;NO;Marca: HAFELE<br>Código: 433.03.282<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta Cierre Suave 300mm | Herrajes Darío;Guia Oculta Cierre Suave 300mm marca HAFELE. Código 433.03.282. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1jVv7l8cUsDB3dZVSUS-5y5IbWXbKqPTV;guiaocultacs.jpg
guia-oculta-cierre-suave-350mm-433-03-283;Guia Oculta Cierre Suave 350mm;Correderas para Muebles;;;;;;;27510.00;;;;;;;433.03.283;;SI;NO;Marca: HAFELE<br>Código: 433.03.283<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta Cierre Suave 350mm | Herrajes Darío;Guia Oculta Cierre Suave 350mm marca HAFELE. Código 433.03.283. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1jVv7l8cUsDB3dZVSUS-5y5IbWXbKqPTV;guiaocultacs.jpg
guia-oculta-cierre-suave-400mm-433-03-284;Guia Oculta Cierre Suave 400mm;Correderas para Muebles;;;;;;;28665.00;;;;;;;433.03.284;;SI;NO;Marca: HAFELE<br>Código: 433.03.284<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta Cierre Suave 400mm | Herrajes Darío;Guia Oculta Cierre Suave 400mm marca HAFELE. Código 433.03.284. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1jVv7l8cUsDB3dZVSUS-5y5IbWXbKqPTV;guiaocultacs.jpg
guia-oculta-cierre-suave-450mm-433-03-285;Guia Oculta Cierre Suave 450mm;Correderas para Muebles;;;;;;;30555.00;;;;;;;433.03.285;;SI;NO;Marca: HAFELE<br>Código: 433.03.285<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta Cierre Suave 450mm | Herrajes Darío;Guia Oculta Cierre Suave 450mm marca HAFELE. Código 433.03.285. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1jVv7l8cUsDB3dZVSUS-5y5IbWXbKqPTV;guiaocultacs.jpg
guia-oculta-cierre-suave-500mm-433-03-286;Guia Oculta Cierre Suave 500mm;Correderas para Muebles;;;;;;;31500.00;;;;;;;433.03.286;;SI;NO;Marca: HAFELE<br>Código: 433.03.286<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta Cierre Suave 500mm | Herrajes Darío;Guia Oculta Cierre Suave 500mm marca HAFELE. Código 433.03.286. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1jVv7l8cUsDB3dZVSUS-5y5IbWXbKqPTV;guiaocultacs.jpg
guia-oculta-cierre-suave-550mm-433-03-287;Guia Oculta Cierre Suave 550mm;Correderas para Muebles;;;;;;;33862.50;;;;;;;433.03.287;;SI;NO;Marca: HAFELE<br>Código: 433.03.287<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta Cierre Suave 550mm | Herrajes Darío;Guia Oculta Cierre Suave 550mm marca HAFELE. Código 433.03.287. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1jVv7l8cUsDB3dZVSUS-5y5IbWXbKqPTV;guiaocultacs.jpg
guia-oculta-duo-push-cierre-suave-300mm-433-03-681;Guia Oculta (Duo) Push + Cierre Suave 300mm;Correderas para Muebles;;;;;;;32340.00;;;;;;;433.03.681;;SI;NO;Marca: HAFELE<br>Código: 433.03.681<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta (Duo) Push + Cierre Suave 300mm | Herrajes Darío;Guia Oculta (Duo) Push + Cierre Suave 300mm marca HAFELE. Código 433.03.681. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1hIrAy3nq1FT79OdnStZevuDkorQsE_yc;ocultaduo.jpg
guia-oculta-duo-push-cierre-suave-350mm-433-03-682;Guia Oculta (Duo) Push + Cierre Suave 350mm;Correderas para Muebles;;;;;;;33285.00;;;;;;;433.03.682;;SI;NO;Marca: HAFELE<br>Código: 433.03.682<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta (Duo) Push + Cierre Suave 350mm | Herrajes Darío;Guia Oculta (Duo) Push + Cierre Suave 350mm marca HAFELE. Código 433.03.682. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1hIrAy3nq1FT79OdnStZevuDkorQsE_yc;ocultaduo.jpg
guia-oculta-duo-push-cierre-suave-400mm-433-03-683;Guia Oculta (Duo) Push + Cierre Suave 400mm;Correderas para Muebles;;;;;;;34545.00;;;;;;;433.03.683;;SI;NO;Marca: HAFELE<br>Código: 433.03.683<br>Producto disponible en Herrajes Darío.;HAFELE;Guia Oculta (Duo) Push + Cierre Suave 400mm | Herrajes Darío;Guia Oculta (Duo) Push + Cierre Suave 400mm marca HAFELE. Código 433.03.683. Consultá disponibilidad en Herrajes Darío.;HAFELE;SI;;;;;https://drive.google.com/uc?export=view&id=1hIrAy3nq1FT79OdnStZevuDkorQsE_yc;ocultaduo.jpg
